,season,city,team1,team2,toss_winner,toss_decision,result,winner,win_by_runs,win_by_wickets,player_of_match,umpire1,umpire2,loser,toss/win,batfirst,batsecond
56,2017,Bangalore,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,0,7,NM Coulter-Nile,AK Chaudhary,Nitin Menon,Sunrisers Hyderabad,Kolkata Knight Riders,,Kolkata Knight Riders
57,2017,Bangalore,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians,0,6,KV Sharma,NJ Llong,Nitin Menon,Kolkata Knight Riders,Mumbai Indians,,Mumbai Indians
58,2017,Hyderabad,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,bat,normal,Mumbai Indians,1,0,KH Pandya,NJ Llong,S Ravi,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,
59,2008,Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Kolkata Knight Riders,140,0,BB McCullum,Asad Rauf,RE Koertzen,Royal Challengers Bangalore,,Kolkata Knight Riders,
60,2008,Chandigarh,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,normal,Chennai Super Kings,33,0,MEK Hussey,MR Benson,SL Shastri,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,
61,2008,Delhi,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,normal,Delhi Daredevils,0,9,MF Maharoof,Aleem Dar,GA Pratapkumar,Rajasthan Royals,,,Delhi Daredevils
62,2008,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,Royal Challengers Bangalore,0,5,MV Boucher,SJ Davis,DJ Harper,Mumbai Indians,,,Royal Challengers Bangalore
63,2008,Kolkata,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,normal,Kolkata Knight Riders,0,5,DJ Hussey,BF Bowden,K Hariharan,Deccan Chargers,,,Kolkata Knight Riders
64,2008,Jaipur,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,normal,Rajasthan Royals,0,6,SR Watson,Aleem Dar,RB Tiffin,Kings XI Punjab,,,Rajasthan Royals
65,2008,Hyderabad,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,normal,Delhi Daredevils,0,9,V Sehwag,IL Howell,AM Saheba,Deccan Chargers,,,Delhi Daredevils
66,2008,Chennai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,Chennai Super Kings,6,0,ML Hayden,DJ Harper,GA Pratapkumar,Mumbai Indians,,Chennai Super Kings,
67,2008,Hyderabad,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,normal,Rajasthan Royals,0,3,YK Pathan,Asad Rauf,MR Benson,Deccan Chargers,Rajasthan Royals,,Rajasthan Royals
68,2008,Chandigarh,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,Kings XI Punjab,66,0,KC Sangakkara,Aleem Dar,AM Saheba,Mumbai Indians,,Kings XI Punjab,
69,2008,Bangalore,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,Rajasthan Royals,0,7,SR Watson,MR Benson,IL Howell,Royal Challengers Bangalore,Rajasthan Royals,,Rajasthan Royals
70,2008,Chennai,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,normal,Chennai Super Kings,0,9,JDP Oram,BF Bowden,AV Jayaprakash,Kolkata Knight Riders,,,Chennai Super Kings
71,2008,Mumbai,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,normal,Deccan Chargers,0,10,AC Gilchrist,Asad Rauf,SL Shastri,Mumbai Indians,Deccan Chargers,,Deccan Chargers
72,2008,Chandigarh,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,normal,Kings XI Punjab,0,4,SM Katich,RE Koertzen,I Shivram,Delhi Daredevils,,,Kings XI Punjab
73,2008,Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,Chennai Super Kings,13,0,MS Dhoni,BR Doctrove,RB Tiffin,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,
74,2008,Kolkata,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,Mumbai Indians,0,7,ST Jayasuriya,BF Bowden,AV Jayaprakash,Kolkata Knight Riders,,,Mumbai Indians
75,2008,Delhi,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Delhi Daredevils,10,0,GD McGrath,Aleem Dar,I Shivram,Royal Challengers Bangalore,,Delhi Daredevils,
76,2008,Hyderabad,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,normal,Kings XI Punjab,0,7,SE Marsh,BR Doctrove,RB Tiffin,Deccan Chargers,Kings XI Punjab,,Kings XI Punjab
77,2008,Jaipur,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,Rajasthan Royals,45,0,SA Asnodkar,RE Koertzen,GA Pratapkumar,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,
78,2008,Chennai,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,normal,Delhi Daredevils,0,8,V Sehwag,BF Bowden,K Hariharan,Chennai Super Kings,,,Delhi Daredevils
79,2008,Hyderabad,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,normal,Royal Challengers Bangalore,0,5,R Vinay Kumar,Asad Rauf,RE Koertzen,Deccan Chargers,,,Royal Challengers Bangalore
80,2008,Chandigarh,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,normal,Kings XI Punjab,9,0,IK Pathan,DJ Harper,I Shivram,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,
81,2008,Mumbai,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,Mumbai Indians,29,0,SM Pollock,IL Howell,RE Koertzen,Delhi Daredevils,,Mumbai Indians,
82,2008,Jaipur,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,normal,Rajasthan Royals,0,8,Sohail Tanvir,Asad Rauf,AV Jayaprakash,Chennai Super Kings,,,Rajasthan Royals
83,2008,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,Kings XI Punjab,0,6,S Sreesanth,SJ Davis,BR Doctrove,Royal Challengers Bangalore,Kings XI Punjab,,Kings XI Punjab
84,2008,Chennai,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,normal,Deccan Chargers,0,7,AC Gilchrist,MR Benson,RB Tiffin,Chennai Super Kings,Deccan Chargers,,Deccan Chargers
85,2008,Mumbai,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians,0,7,A Nehra,DJ Harper,RE Koertzen,Rajasthan Royals,Mumbai Indians,,Mumbai Indians
86,2008,Delhi,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,normal,Chennai Super Kings,0,4,MS Dhoni,Aleem Dar,RB Tiffin,Delhi Daredevils,Chennai Super Kings,,Chennai Super Kings
87,2008,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,normal,Kolkata Knight Riders,5,0,SC Ganguly,Asad Rauf,IL Howell,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,
88,2008,Jaipur,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,normal,Rajasthan Royals,0,8,YK Pathan,MR Benson,AM Saheba,Deccan Chargers,Rajasthan Royals,,Rajasthan Royals
89,2008,Bangalore,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians,0,9,CRD Fernando,BF Bowden,AV Jayaprakash,Royal Challengers Bangalore,Mumbai Indians,,Mumbai Indians
90,2008,Chennai,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,normal,Chennai Super Kings,18,0,L Balaji,AV Jayaprakash,BG Jerling,Kings XI Punjab,,Chennai Super Kings,
